SubjectCode,Credits
ES-101,1
ES-102,3
ES-103,3
ES-104,3
ES-105,2
ES-106,2
ES-107,1
ES-108,2
ES-109,2
ES-110,2
ES-111,4
ES-112,1
ES-113,4
ES-114,4
ES-115,4
ES-116,4
ES-117,3
ES-118,2
ES-119,3
ES-120,3
ES-121,2
ES-122,4
ES-123,4
ES-124,1
ES-125,4
ES-126,2
ES-127,2
ES-128,1
ES-129,4
ES-130,4
ES-131,3
ES-132,4
ES-133,2
ES-134,3
ES-135,3
ES-136,4
ES-137,1
ES-138,3
ES-139,2
ES-140,1
ES-141,2
ES-142,1
ES-143,3
ES-144,1
ES-145,3
ES-146,3
ES-147,3
ES-148,3
ES-149,1
ES-150,3
ES-151,4
ES-152,4
ES-153,3
ES-154,3
ES-155,3
ES-156,4
ES-157,4
ES-158,1
ES-159,4
ES-160,4
ES-161,3
ES-162,2
ES-163,1
ES-164,4
ES-165,1
ES-166,3
ES-167,4
ES-168,1
ES-169,3
ES-170,4
ES-171,2
ES-172,1
ES-173,3
ES-174,3
ES-175,4
ES-176,4
ES-177,1
ES-178,4
ES-179,4
ES-180,2
ES-181,3
ES-182,2
ES-183,1
ES-184,2
ES-185,1
ES-186,4
ES-187,2
ES-188,1
ES-189,4
ES-190,3
ES-191,1
ES-192,3
ES-193,3
ES-194,2
ES-195,2
ES-196,4
ES-197,1
ES-198,4
ES-199,1
ES-200,3
ES-201,3
ES-202,2
ES-203,2
ES-204,1
ES-205,2
ES-206,3
ES-207,2
ES-208,3
ES-209,1
ES-210,4
ES-211,4
ES-212,2
ES-213,2
ES-214,2
ES-215,3
ES-216,3
ES-217,4
ES-218,1
ES-219,1
ES-220,3
ES-221,2
ES-222,3
ES-223,2
ES-224,4
ES-225,1
ES-226,3
ES-227,2
ES-228,3
ES-229,1
ES-230,1
ES-231,1
ES-232,4
ES-233,1
ES-234,4
ES-235,2
ES-236,1
ES-237,2
ES-238,3
ES-239,3
ES-240,3
ES-241,3
ES-242,1
ES-243,1
ES-244,2
ES-245,4
ES-246,2
ES-247,2
ES-248,2
ES-249,4
ES-250,2
ES-251,2
ES-252,4
ES-253,2
ES-254,1
ES-255,2
ES-256,3
ES-257,4
ES-258,3
ES-259,4
ES-260,3
ES-261,4
ES-262,3
ES-263,1
ES-264,2
ES-265,4
ES-266,1
ES-267,1
ES-268,1
ES-269,4
ES-270,1
ES-271,4
ES-272,1
ES-273,2
ES-274,1
ES-275,4
ES-276,4
ES-277,3
ES-278,1
ES-279,3
ES-280,3
ES-281,1
ES-282,2
ES-283,3
ES-284,2
ES-285,1
ES-286,3
ES-287,4
ES-288,1
ES-289,1
ES-290,2
ES-291,4
ES-292,2
ES-293,3
ES-294,1
ES-295,1
ES-296,3
ES-297,1
ES-298,3
ES-299,2
ES-300,4
ES-301,3
ES-302,3
ES-303,2
ES-304,3
ES-305,2
ES-306,2
ES-307,2
ES-308,2
ES-309,3
ES-310,2
ES-311,4
ES-312,3
ES-313,4
ES-314,4
ES-315,1
ES-316,1
ES-317,1
ES-318,1
ES-319,3
ES-320,3
ES-321,3
ES-322,4
ES-323,1
ES-324,4
ES-325,2
ES-326,3
ES-327,4
ES-328,3
ES-329,3
ES-330,2
ES-331,2
ES-332,4
ES-333,1
ES-334,3
ES-335,4
ES-336,1
ES-337,1
ES-338,2
ES-339,3
ES-340,2
ES-341,2
ES-342,3
ES-343,2
ES-344,3
ES-345,3
ES-346,1
ES-347,3
ES-348,1
ES-349,3
ES-350,2
ES-351,2
ES-352,1
ES-353,3
ES-354,1
ES-355,2
ES-356,1
ES-357,3
ES-358,3
ES-359,2
ES-360,2
ES-361,3
ES-362,4
ES-363,4
ES-364,3
ES-365,3
ES-366,4
ES-367,2
ES-368,3
ES-369,4
ES-370,1
ES-371,2
ES-372,1
ES-373,4
ES-374,2
ES-375,2
ES-376,2
ES-377,1
ES-378,4
ES-379,4
ES-380,2
ES-381,4
ES-382,4
ES-383,1
ES-384,1
ES-385,2
ES-386,4
ES-387,1
ES-388,2
ES-389,4
ES-390,2
ES-391,2
ES-392,3
ES-393,4
ES-394,4
ES-395,3
ES-396,2
ES-397,2
ES-398,4
ES-399,2
ES-400,1
ES-401,3
ES-402,2
ES-403,3
ES-404,2
ES-405,2
ES-406,4
ES-407,3
ES-408,1
ES-409,2
ES-410,4
ES-411,3
ES-412,2
ES-413,1
ES-414,1
ES-415,1
ES-416,3
ES-417,4
ES-418,2
ES-419,1
ES-420,2
ES-421,2
ES-422,3
ES-423,1
ES-424,3
ES-425,1
ES-426,2
ES-427,2
ES-428,3
ES-429,4
ES-430,4
ES-431,1
ES-432,1
ES-433,2
ES-434,4
ES-435,3
ES-436,4
ES-437,4
ES-438,4
ES-439,4
ES-440,2
ES-441,2
ES-442,1
ES-443,3
ES-444,3
ES-445,1
ES-446,2
ES-447,2
ES-448,1
ES-449,3
ES-450,3
ES-451,4
ES-452,4
ES-453,1
ES-454,3
ES-455,2
ES-456,1
ES-457,2
ES-458,2
ES-459,3
ES-460,3
ES-461,3
ES-462,4
ES-463,1
ES-464,2
ES-465,3
ES-466,1
ES-467,4
ES-468,1
ES-469,4
ES-470,3
ES-471,3
ES-472,2
ES-473,4
ES-474,1
ES-475,2
ES-476,1
ES-477,2
ES-478,3
ES-479,2
ES-480,2
ES-481,3
ES-482,2
ES-483,1
ES-484,4
ES-485,3
ES-486,3
ES-487,3
ES-488,1
ES-489,4
ES-490,2
ES-491,4
ES-492,1
ES-493,4
ES-494,3
ES-495,4
ES-496,4
ES-497,2
ES-498,4
ES-499,3
ES-500,4
ES-501,1
ES-502,3
ES-503,1
ES-504,1
ES-505,4
ES-506,4
ES-507,2
ES-508,2
ES-509,1
ES-510,2
ES-511,1
ES-512,1
ES-513,3
ES-514,1
ES-515,1
ES-516,1
ES-517,3
ES-518,4
ES-519,2
ES-520,1
ES-521,4
ES-522,3
ES-523,2
ES-524,1
ES-525,2
ES-526,4
ES-527,2
ES-528,3
ES-529,4
ES-530,3
ES-531,1
ES-532,1
ES-533,1
ES-534,1
ES-535,2
ES-536,4
ES-537,3
ES-538,3
ES-539,2
ES-540,2
ES-541,3
ES-542,4
ES-543,4
ES-544,2
ES-545,2
ES-546,2
ES-547,2
ES-548,1
ES-549,3
ES-550,3
ES-551,2
ES-552,4
ES-553,1
ES-554,1
ES-555,3
ES-556,3
ES-557,3
ES-558,2
ES-559,2
ES-560,3
ES-561,3
ES-562,1
ES-563,1
ES-564,2
ES-565,1
ES-566,4
ES-567,1
ES-568,4
ES-569,2
ES-570,4
ES-571,2
ES-572,3
ES-573,3
ES-574,4
ES-575,2
ES-576,4
ES-577,4
ES-578,2
ES-579,2
ES-580,2
ES-581,1
ES-582,3
ES-583,3
ES-584,1
ES-585,3
ES-586,1
ES-587,4
ES-588,1
ES-589,4
ES-590,1
ES-591,2
ES-592,4
ES-593,4
ES-594,3
ES-595,3
ES-596,4
ES-597,1
ES-598,2
ES-599,2
ES-600,2
ES-601,1
ES-602,2
ES-603,3
ES-604,2
